Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1955,2.54,1.27,3.09,6.37,6.17,7.02,4.96,0.43,2.93,2.8,2.81,2.61
1956,1.74,7.93,6.89,1.55,1.35,4.99,2.05,2.41,1.95,2.29,7.45,5.71
1957,7.26,3.1,5.86,5.55,5.35,6.52,4.65,0.1,2.75,5.08,0.1,5.81
1958,4.79,7.98,4.17,4,3.8,10.32,8.15,2.69,6.54,2.35,6.2,2.3
1959,7.5,3.1,5.56,0.73,0.53,9.94,4.19,2.02,0.83,5.05,3.76,10.73
1960,0.88,4.3,10.27,2.71,2.51,4.5,1.7,2.75,4,2.06,1.93,2.51
1961,2,3.51,5.92,5.47,5.27,6.49,7.02,0.1,1.08,1.12,0.3,3.58
1962,2.52,4.2,4.62,3.7,3.5,7.05,1.11,3.38,1.49,3.63,0.72,5.7
1963,3.04,6.96,10.27,2.82,2.62,0.65,2.16,3.36,3.9,2.74,3.38,1.34
1964,2.52,10.51,4.48,2.77,2.57,5.07,2.34,0.62,1.77,2.69,1.33,6.66
1965,7.16,5.44,3.25,8.1,7.93,8.79,2.23,3.19,2.43,4.59,5.91,5.97
1966,3.4,1.81,4.32,2.62,2.42,2,6.55,2.1,4.98,1.94,2.98,1.62
1967,2.51,4.8,4.11,5.1,4.9,2.66,4.3,2.83,2.42,6.83,4.56,5.17
1968,9.47,5.6,4.77,3.06,2.86,2.62,1.86,3.06,1.6,2.08,2.32,3.75
1969,3.06,5.53,6.92,4.26,4.06,0.84,5.74,0.55,2.5,1.82,3.47,6.63
1970,7.39,9.27,6.29,1.77,1.57,5.91,2.37,7.1,2.33,2.99,2.97,2.05
1971,3.19,3.03,10.43,2.37,2.17,1,5.73,2.53,7.51,1.94,2.03,2.28
1972,1.31,3.46,4.41,4.94,4.74,3.1,2.56,1.75,4.44,2.53,3.27,5.28
1973,2.84,4.91,6.53,3.02,2.82,2.38,3.72,4.12,2.41,1.27,1.42,1.1
1974,1.19,3.83,1.79,3.89,3.69,3.33,3.1,2.97,5.17,3.2,2.36,5.82
1975,4.33,1.98,4.84,6.88,6.68,1.02,7.86,1.03,1.94,2.27,3.47,6.01
1976,2.36,0.84,4.87,6.18,5.98,2.9,7.27,1.86,0.57,4.62,4.99,3.71
1977,3.44,4.68,2.52,4.71,4.51,4.36,5.73,1.16,2.15,2.71,1.43,8.16
1978,6.83,4.56,4.27,5.8,5.6,0.56,4.01,1.86,2.87,3.64,1.8,3.73
1979,3.57,4.9,3.35,2.83,2.63,2.06,5.4,1.21,5.75,1.97,0.78,5.3
1980,2.64,3.65,4.74,3.42,3.22,4.55,6.8,2.81,4.18,4.76,4.82,8.27
1981,4.9,3.83,10.28,5.62,5.42,2.8,8.07,0.66,1.67,4.02,7.38,3.36
1982,6.9,3.21,5.65,4.94,4.74,8.85,2.5,9.54,4.01,2.17,5.83,2.94
1983,2.32,5.42,12.75,6.42,6.22,4.07,3.36,4.52,4.57,6.56,2.6,4.25
1984,4.82,2.48,5.72,6.09,5.89,3.51,4.41,4.18,7.93,5.87,0.9,1.94
1985,4.39,3.47,6.23,1.55,1.35,1.93,1.55,4.1,4.53,4.92,5.56,4.38
1986,1.56,1.77,5.28,7.93,7.73,5.35,4.43,0.47,3.69,2.98,3.61,10.76
1987,2.89,4.21,5.32,8.08,7.88,6.53,4.67,10.54,4.47,4.67,5.58,5.17
1988,2.99,1.58,7.67,6.04,5.84,1.99,3.93,0.19,1.12,1.87,2.15,1.53
1989,8.15,4.03,3.78,2.95,2.75,1,3.89,0.47,2.98,3.52,3.43,2.51
1990,2.38,5,3.4,4.09,3.89,5.9,5.87,2.33,3.34,2.61,3.47,6.49
1991,4.03,3.1,3.84,10.94,10.74,1.96,2.11,0.45,1.24,3.47,6.58,7.88
1992,4.59,2.58,5.54,9.58,9.38,1.19,7.03,0.07,2.3,6.7,5.8,2.51
1993,1.63,3.5,3.1,2.55,2.35,2.42,2.4,1.62,3.79,2.29,3.41,1.11
1994,2.48,3.79,2.69,3.26,3.06,0.41,1.17,1.29,3.26,2.89,7.03,3.44
1995,2.92,5.07,1.58,4.31,4.11,1.01,2.96,1.05,0.61,0.91,3,5.59
1996,0.55,2.22,2.58,1.76,1.56,3.1,3.66,1.55,2.27,2.24,5.09,4.08
1997,7.97,9.56,5.71,4.51,4.31,3.92,3.58,5.4,3.55,4.32,3.54,2.1
1998,2.47,4.93,3.66,2.7,2.5,2.16,5.26,1.23,3,5.11,3.89,10.89
1999,1.35,5.64,4.65,5.53,5.33,2.32,3.22,4.57,1.67,4.58,2.47,7.4
2000,4.41,2.8,4.9,3.02,2.82,2.37,6.29,2.55,3.1,2.32,4.08,3.01
2001,5.41,3.53,5.9,4.4,4.2,2.16,4.04,2,1.64,2.9,2.1,6.75
2002,8.18,6.38,7.96,3.66,3.46,3.76,5.22,3.3,4.93,4.01,3.64,2.82
2003,3.79,2.01,4.27,7.56,7.36,5.01,2.35,4.1,3.28,6.3,3.58,2.45
2004,3.78,2.66,5.55,4.38,4.18,3.22,5.85,3.98,0.97,3.86,5.6,4.9
2005,6.76,3.3,10.04,4.82,4.62,3.59,3.66,4.85,3.4,3.41,6.19,2.32
2006,12.05,4.31,3.53,4.36,4.16,3.08,5.03,0.49,2.81,2.29,0.9,6.66
2007,3.66,2.53,4.67,4.25,4.05,8.68,3.59,1.07,2.93,2.74,2.59,2.63
2008,5.43,2.04,2.87,5.2,5,3.23,3.1,5.91,1.45,2.24,6.48,1.3
2009,4.57,8.74,3.1,5.44,5.24,2.61,3.17,0.89,3.95,5.31,4.69,3.45
2010,3.86,2.19,9.8,3.88,3.68,4.33,6.04,5.39,3.01,5.18,2.51,5.94
2011,7.18,8.67,2.7,10.63,10.43,0.99,3.27,7.8,3.76,2.5,3.77,3.32
2012,3.49,5.97,5.21,6.8,6.6,3,3.59,3.65,4.12,5.6,4.81,6.06
2010,2.8,4.04,4.3,0.93,0.73,3.82,2.79,0.54,6.77,0.72,2.89,2.59
2010,2.29,2.89,3.3,4.85,4.65,5.97,3.04,3.1,5.08,3.68,3.65,3.54
2015,2.47,2.04,2.66,3.2,3,2.72,1.87,1.09,1.26,5.65,5.8,3.96
